t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4352,0.0,0.0,-0.0125,0.0,0.0,0.0,0.0,-0.625,0.0,0.0
2.4551,0.0,0.0,-0.034375,0.0,0.0,0.0,0.0,-1.09375,0.0,0.0
2.4751,0.0,0.0,-0.06328125000000001,0.0,0.0,0.0,0.0,-1.4453125,0.0,0.0
2.4949,0.0,0.0,-0.09746093750000001,0.0,0.0,0.0,0.0,-1.708984375,0.0,0.0
2.5153,0.0,0.0,-0.13559570312500002,0.0,0.0,0.0,0.0,-1.90673828125,0.0,0.0
2.5352,0.0,0.0,-0.17669677734375003,0.0,0.0,0.0,0.0,-2.0550537109375,0.0,0.0
2.5551,0.0,0.0,-0.22002258300781252,0.0,0.0,0.0,0.0,-2.166290283203125,0.0,0.0
2.5754,0.0,0.0,-0.2650169372558594,0.0,0.0,0.0,0.0,-2.2497177124023438,0.0,0.0
