t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
1.9325,0.0,0.0,0.0,0.0,0.0
1.9424,0.0,0.0,0.0,0.0,0.0
1.9525,0.0,0.0,0.0,0.0,0.0
1.9626,0.0,0.0,0.0,0.0,0.0
1.9727,0.0,0.0,0.0,0.0,0.0
1.9825,0.0,0.0,0.0,0.0,0.0
1.9928,0.0,0.0,0.0,0.0,0.0
2.0025,0.0,0.0,0.0,0.0,0.0
2.0124,0.0,0.0,0.0,0.0,0.0
2.0224,0.0,0.0,0.0,0.0,0.0
2.0326,0.0,0.0,0.0,0.0,0.0
2.0424,0.0,0.0,0.0,0.0,0.0
2.0523,0.0,0.0,0.0,0.0,0.0
2.0625,0.0,0.0,0.0,0.0,0.0
2.0726,0.0,0.0,0.0,0.0,0.0
2.0824,0.0,0.0,0.0,0.0,0.0
2.0925,0.0,0.0,0.0,0.0,0.0
2.1025,0.0,0.0,0.0,0.0,0.0
2.1125,0.0,0.0,0.0,0.0,0.0
2.1227,0.0,0.0,0.0,0.0,0.0
2.1326,0.0,0.0,0.0,0.0,0.0
2.1424,0.0,0.0,0.0,0.0,0.0
2.1524,0.0,0.0,0.0,0.0,0.0
2.1626,0.0,0.0,0.0,0.0,0.0
2.1726,0.0,0.0,0.0,0.0,0.0
2.1824,0.0,0.0,0.0,0.0,0.0
2.1926,0.0,0.0,0.0,0.0,0.0
2.2025,0.0,0.0,0.0,0.0,0.0
2.2124,0.0,0.0,0.0,0.0,0.0
2.2226,0.0,0.0,0.0,0.0,0.0
2.2326,0.0,0.0,0.0,0.0,0.0
2.2424,0.0,0.0,0.0,0.0,0.0
2.2524,0.0,0.0,0.0,0.0,0.0
2.2623,0.0,0.0,0.0,0.0,0.0
2.2724,0.0,0.0,0.0,0.0,0.0
2.2827,0.0,0.0,0.0,0.0,0.0
2.2925,0.0,0.0,0.0,0.0,0.0
2.3024,0.0,0.0,0.0,0.0,0.0
2.3125,0.0,0.0,0.0,0.0,0.0
2.3226,0.0,0.0,0.0,0.0,0.0
2.3324,0.0,0.0,0.0,0.0,0.0
2.3424,0.0,0.0,0.0,0.0,0.0
2.3525,0.0,0.0,0.0,0.0,0.0
2.3624,0.0,0.0,0.0,0.0,0.0
2.3725,0.0,0.0,0.0,0.0,0.0
2.3826,0.0,0.0,0.0,0.0,0.0
2.3924,0.0,0.0,0.0,0.0,0.0
2.4025,0.0,0.0,0.0,0.0,0.0
2.4125,0.0,0.0,0.0,0.0,0.0
2.4225,0.0,0.0,0.0,0.0,0.0
2.4323,0.0,0.0,0.0,0.0,0.0
2.4426,0.0,0.0,0.0,0.0,0.0
2.4526,0.0,0.0,0.0,0.0,0.0
2.4623,0.0,0.0,0.0,0.0,0.0
2.4724,0.0,0.0,0.0,0.0,0.0
2.4826,0.0,0.0,0.0,0.0,0.0
2.4923,0.0,0.0,0.0,0.0,0.0
2.5026,0.0,0.0,0.0,0.0,0.0
2.5126,0.0,0.0,0.0,0.0,0.0
2.5224,0.0,0.0,0.0,0.0,0.0
2.5323,0.0,0.0,0.0,0.0,0.0
2.5426,0.0,0.0,0.0,0.0,0.0
2.5525,0.0,0.0,0.0,0.0,0.0
2.5624,0.0,0.0,0.0,0.0,0.0
2.5724,0.0,0.0,0.0,0.0,0.0
2.5824,0.0,0.0,0.0,0.0,0.0
2.5925,0.0,0.0,0.0,0.0,0.0
2.6026,0.0,0.0,0.0,0.0,0.0
2.6126,0.0,0.0,0.0,0.0,0.0
2.6225,0.0,0.0,0.0,0.0,0.0
2.6325,0.0,0.0,0.0,0.0,0.0
2.6427,0.0,0.0,0.0,0.0,0.0
2.6525,0.0,0.0,0.0,0.0,0.0
2.6624,0.0,0.0,0.0,0.0,0.0
2.6725,0.0,0.0,0.0,0.0,0.0
2.6825,0.0,0.0,0.0,0.0,0.0
2.6923,0.0,0.0,0.0,0.0,0.0
2.7026,0.0,0.0,0.0,0.0,0.0
2.7124,0.0,0.0,0.0,0.0,0.0
2.7224,0.0,0.0,0.0,0.0,0.0
2.7325,0.0,0.0,0.0,0.0,0.0
2.7423,0.0,0.0,0.0,0.0,0.0
2.7522,0.0,0.0,0.0,0.0,0.0
2.7625,0.0,0.0,0.0,0.0,0.0
2.7725,0.0,0.0,0.0,0.0,0.0
2.7825,0.0,0.0,0.0,0.0,0.0
2.7924,0.0,0.0,0.0,0.0,0.0
2.8026,0.0,0.0,0.0,0.0,0.0
