point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
1,0.11,6.664199358161205e-05,0.3,-35.0,True,codo_arriba,0.03471185912191387,55.458450609040554,-91.41997844180953,70.96152783276898,5.551115784870233e-17,7.105427357601002e-15,Punto ejecutado.
2,0.10442857142857143,-0.00958335536287356,0.3,-35.0,True,codo_arriba,-5.24331751403534,53.6682949831744,-92.56251119498631,73.89421621181191,6.216025217875883e-17,-7.105427357601002e-15,Punto ejecutado.
3,0.09885714285714287,-0.01923335271932873,0.3,-35.0,True,codo_arriba,-11.00975673277194,52.12305852560902,-93.38312904928428,76.26007052367525,5.732467154385379e-17,-1.4210854715202004e-14,Punto ejecutado.
4,0.09328571428571429,-0.028883350075783902,0.3,-35.0,True,codo_arriba,-17.20369789290749,50.9341791593738,-93.9258578202586,77.99167866088482,4.3885418357208765e-17,1.4210854715202004e-14,Punto ejecutado.
5,0.08771428571428572,-0.03853334743223907,0.3,-35.0,True,codo_arriba,-23.71613688594319,50.19336237438536,-94.2291904711921,79.03582809680674,7.97218214573518e-17,1.4210854715202004e-14,Punto ejecutado.
6,0.08214285714285714,-0.04818334478869425,0.3,-35.0,True,codo_arriba,-30.395026983513116,49.960559084360156,-94.31933172715345,79.3587726427933,0.0,-7.105427357601002e-15,Punto ejecutado.
7,0.07657142857142857,-0.057833342145149416,0.3,-35.0,True,codo_arriba,-37.06324699934032,50.25507471611557,-94.20488799612657,78.949813280011,6.938893903907228e-18,7.105427357601002e-15,Punto ejecutado.
8,0.07100000000000001,-0.0674833395016046,0.3,-35.0,True,codo_arriba,-43.545337575846595,51.052524189964615,-93.87500175742832,77.82247756746371,2.7755575615628914e-17,0.0,Punto ejecutado.
9,0.06542857142857143,-0.07713333685805976,0.3,-35.0,True,codo_arriba,-49.693629872665625,52.28866318699727,-93.30169531275217,76.01303212575489,1.3877787807814457e-17,-7.105427357601002e-15,Punto ejecutado.
10,0.05985714285714285,-0.08678333421451495,0.3,-35.0,True,codo_arriba,-55.40477300211573,53.86880748855941,-92.44546800211633,73.57666051355693,1.962615573354719e-17,7.105427357601002e-15,Punto ejecutado.
11,0.054285714285714284,-0.09643333157097012,0.3,-35.0,True,codo_arriba,-60.623309296919636,55.680020065538734,-91.26207385374113,70.5820537882024,1.5515838457795457e-17,7.105427357601002e-15,Punto ejecutado.
12,0.04871428571428572,-0.10608332892742528,0.3,-35.0,True,codo_arriba,-65.3350465083272,57.60317741887289,-89.70842794699072,67.10525052811784,1.3877787807814457e-17,0.0,Punto ejecutado.
13,0.04314285714285715,-0.11573332628388044,0.3,-35.0,True,codo_arriba,-69.55564319197325,59.52294507512689,-87.74639720773878,63.22345213261189,2.8609792490763984e-17,0.0,Punto ejecutado.
14,0.037571428571428575,-0.12538332364033564,0.3,-35.0,True,codo_arriba,-73.31902291170866,61.33475602011691,-85.34414522802271,59.009389207905805,6.938893903907228e-18,0.0,Punto ejecutado.
