point_id,x_target_m,y_target_m,z_target_m,theta_target_deg,reachable,selected_label,q1_waist_deg,q2_shoulder_deg,q3_elbow_deg,q4_wrist_deg,position_error_m,pitch_error_deg,reason
1,0.188,-0.09,0.3,-35.0,True,codo_arriba,-25.581529257938886,62.48497868889112,-41.5741458089287,14.089167120037585,3.1031676915590914e-17,7.105427357601002e-15,Punto ejecutado.
2,0.18733269918715723,-0.07981895700683597,0.3,-35.0,True,codo_arriba,-23.077946333816925,63.472393334426464,-45.63525984607766,17.162866511651185,7.850462293418876e-17,-1.4210854715202004e-14,Punto ejecutado.
3,0.18534221445054733,-0.06981211448200338,0.3,-35.0,True,codo_arriba,-20.639686785561853,64.3958738380164,-50.00393234161544,20.60805850359905,8.326672684688674e-17,7.105427357601002e-15,Punto ejecutado.
4,0.18206260353588039,-0.060150692275523,0.3,-35.0,True,codo_arriba,-18.282762930402882,65.18520857404809,-54.5780770887252,24.392868514677104,6.359601310784502e-17,-1.4210854715202004e-14,Punto ejecutado.
5,0.17754998149518622,-0.051000000000000004,0.3,-35.0,True,codo_arriba,-16.026344735084603,65.7722734602951,-59.26665696847614,28.49438350818105,1.2586013583571652e-16,1.4210854715202004e-14,Punto ejecutado.
6,0.17188156054271636,-0.04251660853731978,0.3,-35.0,True,codo_arriba,-13.893787628210868,66.08983071166364,-63.98649324448167,32.89666253281803,6.245004513516506e-17,0.0,Punto ejecutado.
7,0.16515432893255072,-0.0348456710674493,0.3,-35.0,True,codo_arriba,-11.914015313646345,66.07076396578871,-68.65885141555638,37.58808744976766,3.1031676915590914e-17,0.0,Punto ejecutado.
8,0.1574833914626802,-0.02811843945728365,0.3,-35.0,True,codo_arriba,-10.123404226205645,65.64837351201513,-73.2063435204228,42.55797000840768,2.797157557069881e-17,0.0,Punto ejecutado.
9,0.14900000000000002,-0.02245001850481379,0.3,-35.0,True,codo_arriba,-8.568376237355768,64.7584020833052,-77.55050598028794,47.79210389698275,7.88106850030428e-17,1.4210854715202004e-14,Punto ejecutado.
10,0.139849307724477,-0.017937396464119626,0.3,-35.0,True,codo_arriba,-7.308983290775565,63.34358524115503,-81.61045075448811,53.266865513333094,2.797157557069881e-17,1.4210854715202004e-14,Punto ejecutado.
11,0.13018788551799662,-0.01465778554945267,0.3,-35.0,True,codo_arriba,-6.42384909038501,61.361576702688545,-85.30317312992638,58.94159642723784,2.797157557069881e-17,0.0,Punto ejecutado.
12,0.12018104299316404,-0.012667300812842786,0.3,-35.0,True,codo_arriba,-6.016863603237561,58.796865988745424,-88.54634621150835,64.74948022276293,1.3985787785349405e-17,0.0,Punto ejecutado.
13,0.11,-0.011999999999999997,0.3,-35.0,True,codo_arriba,-6.225829064425767,55.67652546136769,-91.26459506466371,70.58806960329602,0.0,-7.105427357601002e-15,Punto ejecutado.
14,0.09981895700683598,-0.012667300812842786,0.3,-35.0,True,codo_arriba,-7.232333788605873,52.08819806987672,-93.40008259184202,76.3118845219653,6.228116311227189e-17,-7.105427357601002e-15,Punto ejecutado.
15,0.0898121144820034,-0.01465778554945267,0.3,-35.0,True,codo_arriba,-9.269235800445452,48.19702855479167,-94.927441007069,81.73041245227733,4.220764384040162e-17,7.105427357601002e-15,Punto ejecutado.
16,0.08015069227552302,-0.017937396464119626,0.3,-35.0,True,codo_arriba,-12.614701155153309,44.2569630278181,-95.87130021833136,86.61433719051324,0.0,-7.105427357601002e-15,Punto ejecutado.
17,0.07100000000000001,-0.022450018504813776,0.3,-35.0,True,codo_arriba,-17.54682120086662,40.61067367559104,-96.32134255934874,90.71066888375769,5.763878168445254e-17,-7.105427357601002e-15,Punto ejecutado.
18,0.06251660853731979,-0.02811843945728365,0.3,-35.0,True,codo_arriba,-24.217048071797937,37.668139975896835,-96.43397239620528,93.76583242030843,6.206335383118183e-17,-1.4210854715202004e-14,Punto ejecutado.
19,0.0548456710674493,-0.034845671067449284,0.3,-35.0,False,,,,,,,,Sin solución válida por límites articulares.
20,0.04811843945728367,-0.04251660853731977,0.3,-35.0,False,,,,,,,,Sin solución válida por límites articulares.
21,0.04245001850481378,-0.051000000000000004,0.3,-35.0,True,codo_arriba,-50.2275834998856,36.551755995249025,-96.42364566923052,94.8718896739815,4.046035655711836e-17,0.0,Punto ejecutado.
22,0.03793739646411963,-0.060150692275522985,0.3,-35.0,True,codo_arriba,-57.76012806109499,38.95716005679686,-96.410276411927,92.45311635513013,6.691626947686432e-17,-1.4210854715202004e-14,Punto ejecutado.
23,0.034657785549452674,-0.06981211448200336,0.3,-35.0,True,codo_arriba,-63.598188634547135,42.289088801611065,-96.1597023777878,88.87061357617674,3.469446951953614e-17,7.105427357601002e-15,Punto ejecutado.
24,0.03266730081284279,-0.07981895700683594,0.3,-35.0,True,codo_arriba,-67.74231206448229,46.123427649610036,-95.48966439256557,84.36623674295554,5.763878168445254e-17,7.105427357601002e-15,Punto ejecutado.
