t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
3.4423,-1.9547687622336491,0.0,0.0,0.0,0.0
3.4524,-1.9547687622336491,0.0,0.0,0.0,0.0
3.4626,-1.9547687622336491,0.0,0.0,0.0,0.0
3.4726,-1.9547687622336491,0.0,0.0,0.0,0.0
3.4825,-1.9547687622336491,0.0,0.0,0.0,0.0
3.4925,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5025,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5124,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5225,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5323,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5426,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5524,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5625,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5724,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5826,-1.9547687622336491,0.0,0.0,0.0,0.0
3.5924,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6028,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6125,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6224,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6324,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6426,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6525,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6626,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6725,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6826,-1.9547687622336491,0.0,0.0,0.0,0.0
3.6926,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7028,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7126,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7226,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7325,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7424,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7524,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7624,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7726,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7827,-1.9547687622336491,0.0,0.0,0.0,0.0
3.7926,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8027,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8126,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8227,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8326,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8427,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8525,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8624,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8724,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8827,-1.9547687622336491,0.0,0.0,0.0,0.0
3.8926,-1.9547687622336491,0.0,0.0,0.0,0.0
3.9027,-1.9547687622336491,0.0,0.0,0.0,0.0
