t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4628,-0.0125,0.0,0.0,0.0,0.0,-0.625,0.0,0.0,0.0,0.0
2.4828,-0.034375,0.0,0.0,0.0,0.0,-1.09375,0.0,0.0,0.0,0.0
2.5027,-0.06328125000000001,0.0,0.0,0.0,0.0,-1.4453125,0.0,0.0,0.0,0.0
2.5228,-0.09746093750000001,0.0,0.0,0.0,0.0,-1.708984375,0.0,0.0,0.0,0.0
2.5427,-0.13559570312500002,0.0,0.0,0.0,0.0,-1.90673828125,0.0,0.0,0.0,0.0
2.5629,-0.17669677734375003,0.0,0.0,0.0,0.0,-2.0550537109375,0.0,0.0,0.0,0.0
