t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4295,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4395,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4497,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4598,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4696,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4797,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4899,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4997,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5099,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5200,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5299,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5399,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5499,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5598,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5700,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5799,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5899,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5998,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6099,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6199,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6298,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6397,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6497,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6597,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6696,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6796,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6897,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6996,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7098,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7202,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7297,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7397,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7498,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7596,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7697,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7796,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7896,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7996,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8097,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8196,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8297,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8399,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8498,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8597,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8698,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8797,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8894,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8999,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9097,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9198,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9297,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9398,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9493,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9594,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9695,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9799,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9897,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9995,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0096,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0196,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0298,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0398,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0499,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0599,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0699,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0799,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0899,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1000,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1097,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1199,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1299,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1399,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1499,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1595,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1699,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1795,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1898,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1995,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2099,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2198,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2297,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2396,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2497,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2595,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2697,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2795,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2898,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2997,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3097,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3197,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3295,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3394,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3493,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3597,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3695,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3798,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3899,0.0,0.0,-1.5707963267948966,0.0,0.0
3.3996,0.0,0.0,-1.5707963267948966,0.0,0.0
3.4099,0.0,0.0,-1.5707963267948966,0.0,0.0
3.4198,0.0,0.0,-1.5707963267948966,0.0,0.0
3.4299,0.0,0.0,-1.5707963267948966,0.0,0.0
3.4399,0.0,0.0,-1.5707963267948966,0.0,0.0
3.4498,0.0,0.0,-1.5707963267948966,0.0,0.0
