t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.1515,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1615,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1715,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1816,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1915,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2016,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2113,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2213,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2315,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2412,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2516,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2615,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2714,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2814,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2915,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3015,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3113,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3215,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3316,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3415,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3516,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3617,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3716,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3813,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3916,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4014,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4116,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4214,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4312,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4415,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4516,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4614,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4715,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4814,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4916,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5012,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5116,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5215,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5314,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5414,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5515,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5615,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5715,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5815,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5915,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6016,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6116,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6214,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6314,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6415,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6515,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6612,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6712,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6816,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6915,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7016,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7115,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7214,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7312,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7416,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7513,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7612,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7716,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7814,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7912,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8014,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8115,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8214,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8312,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8415,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8513,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8612,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8715,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8812,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8914,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9015,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9115,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9216,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9315,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9415,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9515,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9614,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9715,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9815,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9912,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0016,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0115,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0215,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0315,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0416,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0515,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0616,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0714,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0815,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0916,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1014,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1114,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1215,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1317,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1413,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1515,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1615,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1714,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1815,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1915,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2015,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2115,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2216,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2316,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2416,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2516,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2615,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2715,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2816,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2916,0.0,0.0,-1.5706918397503438,0.0,0.0
3.3013,0.0,0.0,-1.5703793094589533,0.0,0.0
3.3116,0.0,0.0,-1.5698601321841268,0.0,0.0
3.3216,0.0,0.0,-1.5691357041892657,0.0,0.0
3.3315,0.0,0.0,-1.5682074217377717,0.0,0.0
3.3414,0.0,0.0,-1.5670766810930463,0.0,0.0
3.3515,0.0,0.0,-1.565744878518491,0.0,0.0
3.3614,0.0,0.0,-1.5642134102775078,0.0,0.0
3.3712,0.0,0.0,-1.5624836726334979,0.0,0.0
3.3816,0.0,0.0,-1.5605570618498632,0.0,0.0
3.3914,0.0,0.0,-1.558434974190005,0.0,0.0
3.4015,0.0,0.0,-1.556118805917325,0.0,0.0
3.4116,0.0,0.0,-1.553609953295225,0.0,0.0
3.4214,0.0,0.0,-1.5509098125871061,0.0,0.0
3.4314,0.0,0.0,-1.5480197800563706,0.0,0.0
3.4415,0.0,0.0,-1.5449412519664194,0.0,0.0
3.4516,0.0,0.0,-1.5416756245806547,0.0,0.0
3.4614,0.0,0.0,-1.5382242941624775,0.0,0.0
3.4714,0.0,0.0,-1.53458865697529,0.0,0.0
3.4816,0.0,0.0,-1.5307701092824932,0.0,0.0
3.4915,0.0,0.0,-1.5267700473474892,0.0,0.0
3.5014,0.0,0.0,-1.5225898674336793,0.0,0.0
3.5115,0.0,0.0,-1.5182309658044653,0.0,0.0
3.5215,0.0,0.0,-1.5136947387232484,0.0,0.0
3.5314,0.0,0.0,-1.5089825824534306,0.0,0.0
3.5415,0.0,0.0,-1.5040958932584134,0.0,0.0
3.5514,0.0,0.0,-1.4990360674015986,0.0,0.0
3.5615,0.0,0.0,-1.4938045011463872,0.0,0.0
3.5715,0.0,0.0,-1.4884025907561813,0.0,0.0
3.5813,0.0,0.0,-1.4828317324943823,0.0,0.0
3.5914,0.0,0.0,-1.4770933226243919,0.0,0.0
3.6016,0.0,0.0,-1.4711887574096116,0.0,0.0
3.6115,0.0,0.0,-1.4651194331134432,0.0,0.0
3.6214,0.0,0.0,-1.4588867459992878,0.0,0.0
3.6315,0.0,0.0,-1.4524920923305475,0.0,0.0
