t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
