t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4431,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4534,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4633,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4734,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4834,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4934,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5034,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5135,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5233,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5332,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5435,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5533,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5636,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5734,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5836,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5936,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6035,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6135,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6234,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6333,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6432,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6535,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6634,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6734,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6835,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6936,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7035,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7136,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7233,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7335,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7434,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7533,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7635,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7733,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7835,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7934,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8035,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8137,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8235,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8338,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8436,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8535,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8633,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8731,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8833,0.0,0.0,-1.5707963267948966,0.0,0.0
2.8935,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9034,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9134,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9232,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9336,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9433,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9535,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9633,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9735,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9835,0.0,0.0,-1.5707963267948966,0.0,0.0
2.9936,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0034,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0135,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0236,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0338,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0436,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0535,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0644,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0729,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0831,0.0,0.0,-1.5707963267948966,0.0,0.0
3.0933,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1033,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1135,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1234,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1336,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1435,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1536,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1634,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1736,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1835,0.0,0.0,-1.5707963267948966,0.0,0.0
3.1935,0.0,0.0,-1.5707963267948966,0.0,0.0
3.2036,0.0,0.0,-1.5707963267948966,0.0,0.0
