t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.1407,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1410,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1423,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1525,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1624,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1725,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1827,0.0,0.0,-1.5707963267948966,0.0,0.0
2.1925,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2026,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2125,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2227,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2325,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2426,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2526,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2624,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2725,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2828,0.0,0.0,-1.5707963267948966,0.0,0.0
2.2924,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3026,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3127,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3226,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3325,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3426,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3525,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3627,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3726,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3824,0.0,0.0,-1.5707963267948966,0.0,0.0
2.3924,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4026,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4127,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4227,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4327,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4427,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4526,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4624,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4727,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4824,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4924,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5026,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5125,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5226,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5326,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5424,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5527,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5627,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5726,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5826,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5926,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6026,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6124,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6225,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6327,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6426,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6529,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6627,0.0,0.0,-1.5707963267948966,0.0,0.0
