t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
