t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4253,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4358,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4456,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4557,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4655,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4756,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4855,0.0,0.0,-1.5707963267948966,0.0,0.0
2.4955,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5054,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5159,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5257,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5357,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5458,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5557,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5658,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5761,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5857,0.0,0.0,-1.5707963267948966,0.0,0.0
2.5959,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6057,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6156,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6257,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6359,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6457,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6557,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6660,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6761,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6856,0.0,0.0,-1.5707963267948966,0.0,0.0
2.6962,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7057,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7162,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7257,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7362,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7458,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7562,0.0,0.0,-1.5707963267948966,0.0,0.0
2.7657,0.0,0.0,-1.5707963267948966,0.0,0.0
