t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
3.8583,0.0,0.0,-1.4922065224878023,0.0,0.0
3.8683,0.0,0.0,-1.4871926557966466,0.0,0.0
3.8783,0.0,0.0,-1.4819918724874723,0.0,0.0
3.8885,0.0,0.0,-1.4766025805872907,0.0,0.0
3.8985,0.0,0.0,-1.4710232849307094,0.0,0.0
3.9085,0.0,0.0,-1.4652525862290895,0.0,0.0
3.9188,0.0,0.0,-1.4592891801397032,0.0,0.0
3.9283,0.0,0.0,-1.453131856334892,0.0,0.0
3.9382,0.0,0.0,-1.4467794975712243,0.0,0.0
3.9486,0.0,0.0,-1.4402310787586523,0.0,0.0
3.9583,0.0,0.0,-1.433485666029671,0.0,0.0
3.9684,0.0,0.0,-1.4265424158084756,0.0,0.0
3.9786,0.0,0.0,-1.4194005738801183,0.0,0.0
3.9883,0.0,0.0,-1.4120594744596673,0.0,0.0
3.9982,0.0,0.0,-1.4045185392613637,0.0,0.0
4.0086,0.0,0.0,-1.3967772765677797,0.0,0.0
4.0185,0.0,0.0,-1.3888352802989758,0.0,0.0
4.0282,0.0,0.0,-1.380692229081659,0.0,0.0
4.0381,0.0,0.0,-1.3723478853183408,0.0,0.0
4.0485,0.0,0.0,-1.3638020942564941,0.0,0.0
4.0583,0.0,0.0,-1.355054783057711,0.0,0.0
4.0683,0.0,0.0,-1.346105959866862,0.0,0.0
4.0784,0.0,0.0,-1.336955712881252,0.0,0.0
4.0885,0.0,0.0,-1.3276042094197777,0.0,0.0
4.0986,0.0,0.0,-1.318051694992088,0.0,0.0
4.1085,0.0,0.0,-1.3082984923677392,0.0,0.0
4.1185,0.0,0.0,-1.2983450006453532,0.0,0.0
4.1291,0.0,0.0,-1.2881916943217764,0.0,0.0
4.1390,0.0,0.0,-1.277839122361236,0.0,0.0
4.1484,0.0,0.0,-1.2672879072644985,0.0,0.0
4.1585,0.0,0.0,-1.2565387441380274,0.0,0.0
4.1684,0.0,0.0,-1.2455923997631406,0.0,0.0
4.1785,0.0,0.0,-1.2344497116651687,0.0,0.0
4.1883,0.0,0.0,-1.2231115871826121,0.0,0.0
4.1986,0.0,0.0,-1.211579002536299,0.0,0.0
4.2086,0.0,0.0,-1.1998530018985432,0.0,0.0
4.2186,0.0,0.0,-1.1879346964623023,0.0,0.0
4.2283,0.0,0.0,-1.1758252635103337,0.0,0.0
4.2384,0.0,0.0,-1.1635259454843543,0.0,0.0
4.2482,0.0,0.0,-1.1510380490541983,0.0,0.0
4.2585,0.0,0.0,-1.1383629441869723,0.0,0.0
4.2684,0.0,0.0,-1.1255020632162158,0.0,0.0
4.2783,0.0,0.0,-1.1124568999110584,0.0,0.0
4.2885,0.0,0.0,-1.099229008545377,0.0,0.0
4.2984,0.0,0.0,-1.0858200029669522,0.0,0.0
4.3090,0.0,0.0,-1.0722315556666293,0.0,0.0
4.3186,0.0,0.0,-1.058465396847473,0.0,0.0
4.3283,0.0,0.0,-1.0445233134939271,0.0,0.0
4.3384,0.0,0.0,-1.0304071484409714,0.0,0.0
4.3483,0.0,0.0,-1.0161187994432783,0.0,0.0
4.3582,0.0,0.0,-1.0016602182443735,0.0,0.0
4.3684,0.0,0.0,-0.987033409645791,0.0,0.0
4.3782,0.0,0.0,-0.9722404305762319,0.0,0.0
4.3883,0.0,0.0,-0.9572833891607219,0.0,0.0
4.3983,0.0,0.0,-0.942164443789769,0.0,0.0
4.4085,0.0,0.0,-0.9268858021885221,0.0,0.0
4.4185,0.0,0.0,-0.9114497204859277,0.0,0.0
4.4285,0.0,0.0,-0.8958585022838875,0.0,0.0
4.4383,0.0,0.0,-0.8801144977264173,0.0,0.0
4.4483,0.0,0.0,-0.8642201025688037,0.0,0.0
4.4585,0.0,0.0,-0.8481777572467616,0.0,0.0
4.4684,0.0,0.0,-0.8319899459455934,0.0,0.0
4.4782,0.0,0.0,-0.8156591956693455,0.0,0.0
4.4883,0.0,0.0,-0.7991880753099658,0.0,0.0
4.4985,0.0,0.0,-0.7825791947164629,0.0,0.0
4.5084,0.0,0.0,-0.7658352037640628,0.0,0.0
4.8440,0.0,0.0,-0.7489587914233656,0.0,0.0
4.8443,0.0,0.0,-0.7319526848295057,0.0,0.0
4.8480,0.0,0.0,-0.7148196483513075,0.0,0.0
4.8582,0.0,0.0,-0.6975624826604438,0.0,0.0
4.8685,0.0,0.0,-0.6801840238005945,0.0,0.0
4.8784,0.0,0.0,-0.662687142256602,0.0,0.0
4.8883,0.0,0.0,-0.6450747420236312,0.0,0.0
4.8985,0.0,0.0,-0.6273497596763271,0.0,0.0
4.9086,0.0,0.0,-0.6095151634379694,0.0,0.0
4.9183,0.0,0.0,-0.5915739522496347,0.0,0.0
4.9282,0.0,0.0,-0.5735291548393524,0.0,0.0
4.9384,0.0,0.0,-0.5553838287912611,0.0,0.0
