t,c_waist,c_shoulder,c_elbow,c_wrist,c_gripper
2.4295,0.0,0.0,0.0,0.0,0.0
2.4398,0.0,0.0,0.0,0.0,0.0
2.4500,0.0,0.0,0.0,0.0,0.0
2.4599,0.0,0.0,0.0,0.0,0.0
2.4700,0.0,0.0,0.0,0.0,0.0
2.4800,0.0,0.0,0.0,0.0,0.0
2.4899,0.0,0.0,0.0,0.0,0.0
2.5000,0.0,0.0,0.0,0.0,0.0
2.5098,0.0,0.0,0.0,0.0,0.0
2.5199,0.0,0.0,0.0,0.0,0.0
2.5298,0.0,0.0,0.0,0.0,0.0
2.5400,0.0,0.0,0.0,0.0,0.0
2.5502,0.0,0.0,0.0,0.0,0.0
2.5614,0.0,0.0,0.0,0.0,0.0
2.5697,0.0,0.0,0.0,0.0,0.0
2.5800,0.0,0.0,0.0,0.0,0.0
2.5897,0.0,0.0,0.0,0.0,0.0
2.6000,0.0,0.0,0.0,0.0,0.0
2.6102,0.0,0.0,0.0,0.0,0.0
2.6198,0.0,0.0,0.0,0.0,0.0
2.6296,0.0,0.0,0.0,0.0,0.0
2.6395,0.0,0.0,0.0,0.0,0.0
2.6497,0.0,0.0,0.0,0.0,0.0
2.6599,0.0,0.0,0.0,0.0,0.0
2.6701,0.0,0.0,0.0,0.0,0.0
2.6799,0.0,0.0,0.0,0.0,0.0
2.6899,0.0,0.0,0.0,0.0,0.0
2.6999,0.0,0.0,0.0,0.0,0.0
2.7097,0.0,0.0,0.0,0.0,0.0
2.7198,0.0,0.0,0.0,0.0,0.0
2.7298,0.0,0.0,0.0,0.0,0.0
2.7398,0.0,0.0,0.0,0.0,0.0
2.7499,0.0,0.0,0.0,0.0,0.0
2.7599,0.0,0.0,0.0,0.0,0.0
2.7698,0.0,0.0,0.0,0.0,0.0
2.7799,0.0,0.0,0.0,0.0,0.0
2.7899,0.0,0.0,0.0,0.0,0.0
2.7999,0.0,0.0,0.0,0.0,0.0
2.8099,0.0,0.0,0.0,0.0,0.0
2.8198,0.0,0.0,0.0,0.0,0.0
2.8300,0.0,0.0,0.0,0.0,0.0
2.8399,0.0,0.0,0.0,0.0,0.0
2.8499,0.0,0.0,0.0,0.0,0.0
2.8598,0.0,0.0,0.0,0.0,0.0
2.8699,0.0,0.0,0.0,0.0,0.0
2.8798,0.0,0.0,0.0,0.0,0.0
2.8899,0.0,0.0,0.0,0.0,0.0
2.8998,0.0,0.0,0.0,0.0,0.0
2.9097,0.0,0.0,0.0,0.0,0.0
2.9198,0.0,0.0,0.0,0.0,0.0
2.9299,0.0,0.0,0.0,0.0,0.0
2.9399,0.0,0.0,0.0,0.0,0.0
2.9499,0.0,0.0,0.0,0.0,0.0
2.9599,0.0,0.0,0.0,0.0,0.0
2.9699,0.0,0.0,0.0,0.0,0.0
2.9799,0.0,0.0,0.0,0.0,0.0
2.9901,0.0,0.0,0.0,0.0,0.0
2.9999,0.0,0.0,0.0,0.0,0.0
3.0099,0.0,0.0,0.0,0.0,0.0
3.0200,0.0,0.0,0.0,0.0,0.0
3.0298,0.0,0.0,0.0,0.0,0.0
3.0399,0.0,0.0,0.0,0.0,0.0
3.0499,0.0,0.0,0.0,0.0,0.0
3.0599,0.0,0.0,0.0,0.0,0.0
3.0700,0.0,0.0,0.0,0.0,0.0
3.0800,0.0,0.0,0.0,0.0,0.0
3.0901,0.0,0.0,0.0,0.0,0.0
3.1001,0.0,0.0,0.0,0.0,0.0
3.1101,0.0,0.0,0.0,0.0,0.0
3.1199,0.0,0.0,0.0,0.0,0.0
3.1297,0.0,0.0,0.0,0.0,0.0
3.1400,0.0,0.0,0.0,0.0,0.0
3.1498,0.0,0.0,0.0,0.0,0.0
3.1599,0.0,0.0,0.0,0.0,0.0
3.1698,0.0,0.0,0.0,0.0,0.0
3.1802,0.0,0.0,0.0,0.0,0.0
3.1899,0.0,0.0,0.0,0.0,0.0
3.2001,0.0,0.0,0.0,0.0,0.0
3.2101,0.0,0.0,0.0,0.0,0.0
3.2201,0.0,0.0,0.0,0.0,0.0
3.2300,0.0,0.0,0.0,0.0,0.0
3.2399,0.0,0.0,0.0,0.0,0.0
3.2503,0.0,0.0,0.0,0.0,0.0
3.2600,0.0,0.0,0.0,0.0,0.0
3.2702,0.0,0.0,0.0,0.0,0.0
3.2798,0.0,0.0,0.0,0.0,0.0
3.2902,0.0,0.0,0.0,0.0,0.0
3.3001,0.0,0.0,0.0,0.0,0.0
3.3101,0.0,0.0,0.0,0.0,0.0
3.3198,0.0,0.0,0.0,0.0,0.0
3.3301,0.0,0.0,0.0,0.0,0.0
3.3401,0.0,0.0,0.0,0.0,0.0
3.3499,0.0,0.0,0.0,0.0,0.0
3.3599,0.0,0.0,0.0,0.0,0.0
3.3699,0.0,0.0,0.0,0.0,0.0
3.3797,0.0,0.0,0.0,0.0,0.0
3.3899,0.0,0.0,0.0,0.0,0.0
3.3996,0.0,0.0,0.0,0.0,0.0
3.4099,0.0,0.0,0.0,0.0,0.0
3.4198,0.0,0.0,0.0,0.0,0.0
3.4299,0.0,0.0,0.0,0.0,0.0
3.4400,0.0,0.0,0.0,0.0,0.0
3.4497,0.0,0.0,0.0,0.0,0.0
3.4599,0.0,0.0,0.0,0.0,0.0
3.4697,0.0,0.0,0.0,0.0,0.0
3.4799,0.0,0.0,0.0,0.0,0.0
3.4897,0.0,0.0,0.0,0.0,0.0
3.4998,0.0,0.0,0.0,0.0,0.0
3.5097,0.0,0.0,0.0,0.0,0.0
3.5199,0.0,0.0,0.0,0.0,0.0
3.5299,0.0,0.0,0.0,0.0,0.0
3.5399,0.0,0.0,0.0,0.0,0.0
3.5499,0.0,0.0,0.0,0.0,0.0
3.5599,0.0,0.0,0.0,0.0,0.0
3.5700,0.0,0.0,0.0,0.0,0.0
3.5798,0.0,0.0,0.0,0.0,0.0
3.5899,0.0,0.0,0.0,0.0,0.0
3.6001,0.0,0.0,0.0,0.0,0.0
3.6103,0.0,0.0,0.0,0.0,0.0
3.6201,0.0,0.0,0.0,0.0,0.0
3.6299,0.0,0.0,0.0,0.0,0.0
3.6395,0.0,0.0,0.0,0.0,0.0
3.6496,0.0,0.0,0.0,0.0,0.0
3.6596,0.0,0.0,0.0,0.0,0.0
3.6698,0.0,0.0,0.0,0.0,0.0
3.6800,0.0,0.0,0.0,0.0,0.0
3.6900,0.0,0.0,0.0,0.0,0.0
3.6998,0.0,0.0,0.0,0.0,0.0
3.7098,0.0,0.0,0.0,0.0,0.0
3.7198,0.0,0.0,0.0,0.0,0.0
3.7297,0.0,0.0,0.0,0.0,0.0
3.7398,0.0,0.0,0.0,0.0,0.0
3.7499,0.0,0.0,0.0,0.0,0.0
3.7597,0.0,0.0,0.0,0.0,0.0
3.7700,0.0,0.0,0.0,0.0,0.0
3.7798,0.0,0.0,0.0,0.0,0.0
3.7899,0.0,0.0,0.0,0.0,0.0
