t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
