t,q_waist,q_shoulder,q_elbow,q_wrist,q_gripper,v_waist,v_shoulder,v_elbow,v_wrist,v_gripper
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
