Tiempo_s,Energia,Frecuencia,Es_Beat
0.0,0.0,0.0,0
0.1,0.0,0.669,0
0.2,0.0,0.504,0
0.3,0.038,0.615,1
0.4,0.137,0.415,0
0.5,0.069,0.355,0
0.6,0.053,0.361,0
0.7,0.057,0.381,1
0.8,0.069,0.386,0
0.9,0.055,0.323,0
1.0,0.028,0.327,0
1.1,0.106,0.484,1
1.2,0.243,0.26,0
1.3,0.137,0.355,0
1.4,0.177,0.272,0
1.5,0.147,0.293,1
1.6,0.161,0.438,0
1.7,0.068,0.351,0
1.8,0.161,0.194,0
1.9,0.138,0.275,1
2.0,0.137,0.505,0
2.1,0.098,0.436,0
2.2,0.144,0.234,0
2.3,0.14,0.33,1
2.4,0.14,0.501,0
2.5,0.076,0.239,0
2.6,0.141,0.264,0
2.7,0.099,0.375,1
2.8,0.195,0.301,0
2.9,0.097,0.381,0
3.0,0.132,0.23,0
3.1,0.141,0.292,1
3.2,0.201,0.434,0
3.3,0.081,0.465,0
3.4,0.142,0.238,0
3.5,0.111,0.191,0
3.6,0.176,0.465,1
3.7,0.074,0.352,0
3.8,0.161,0.271,0
3.9,0.152,0.317,1
4.0,0.203,0.461,0
4.1,0.127,0.243,0
4.2,0.121,0.257,0
4.3,0.119,0.274,1
4.4,0.212,0.486,0
4.5,0.097,0.288,0
4.6,0.134,0.336,0
4.7,0.133,0.248,1
4.8,0.256,0.327,0
4.9,0.082,0.193,0
5.0,0.175,0.247,0
5.1,0.144,0.204,1
5.2,0.226,0.451,0
5.3,0.086,0.329,0
5.4,0.145,0.318,0
5.5,0.136,0.452,1
5.6,0.199,0.392,0
5.7,0.05,0.263,0
5.8,0.129,0.314,0
5.9,0.118,0.2,1
6.0,0.234,0.541,0
6.1,0.109,0.266,0
6.2,0.175,0.231,0
6.3,0.16,0.177,0
6.4,0.269,0.361,1
6.5,0.098,0.363,0
6.6,0.119,0.267,0
6.7,0.117,0.217,0
6.8,0.292,0.307,1
6.9,0.089,0.308,0
7.0,0.17,0.349,0
7.1,0.116,0.322,0
7.2,0.288,0.254,1
7.3,0.102,0.355,0
7.4,0.158,0.375,0
7.5,0.127,0.201,0
7.6,0.264,0.393,1
7.7,0.091,0.266,0
7.8,0.146,0.277,0
7.9,0.121,0.238,0
8.0,0.25,0.525,1
8.1,0.113,0.219,0
8.2,0.174,0.263,0
8.3,0.142,0.222,0
8.4,0.292,0.31,1
8.5,0.092,0.284,0
8.6,0.126,0.378,0
8.7,0.132,0.259,0
8.8,0.228,0.443,1
8.9,0.082,0.273,0
9.0,0.157,0.285,0
9.1,0.122,0.241,0
9.2,0.275,0.426,1
9.3,0.113,0.249,0
9.4,0.16,0.274,0
9.5,0.146,0.235,0
9.6,0.242,0.429,1
9.7,0.127,0.234,0
9.8,0.139,0.373,0
9.9,0.137,0.242,0
10.0,0.294,0.44,1
10.1,0.129,0.259,0
10.2,0.138,0.32,0
10.3,0.137,0.327,0
10.4,0.303,0.357,1
10.5,0.14,0.259,0
10.6,0.134,0.277,0
10.7,0.101,0.331,0
10.8,0.295,0.254,1
10.9,0.126,0.26,0
11.0,0.133,0.3,0
11.1,0.147,0.234,0
11.2,0.331,0.382,1
11.3,0.107,0.269,0
11.4,0.131,0.342,0
11.5,0.12,0.246,0
11.6,0.312,0.452,1
11.7,0.11,0.26,0
11.8,0.13,0.263,0
11.9,0.152,0.236,0
12.0,0.304,0.453,1
12.1,0.097,0.246,0
12.2,0.137,0.23,0
12.3,0.115,0.266,0
12.4,0.304,0.341,1
12.5,0.105,0.243,0
12.6,0.143,0.459,0
12.7,0.14,0.241,0
12.8,0.266,0.282,1
12.9,0.12,0.451,0
13.0,0.132,0.331,0
13.1,0.135,0.2,0
13.2,0.284,0.263,1
13.3,0.089,0.355,0
13.4,0.146,0.308,0
13.5,0.168,0.305,0
13.6,0.17,0.374,1
13.7,0.112,0.251,0
13.8,0.189,0.266,0
13.9,0.136,0.268,1
14.0,0.213,0.431,0
14.1,0.172,0.336,0
14.2,0.095,0.252,0
14.3,0.185,0.405,1
14.4,0.119,0.22,0
14.5,0.175,0.442,0
14.6,0.041,0.293,0
14.7,0.172,0.465,1
14.8,0.112,0.302,0
14.9,0.119,0.523,0
15.0,0.147,0.472,1
15.1,0.174,0.473,0
15.2,0.158,0.542,0
15.3,0.115,0.407,0
15.4,0.193,0.461,1
15.5,0.309,0.429,0
15.6,0.178,0.486,0
15.7,0.131,0.511,0
15.8,0.059,0.382,1
15.9,0.029,0.556,0
