Tiempo_s,Base_Lin,Hombro_Lin,Codo_Lin,Muneca_Lin,Pinza_Lin,Base_Cub,Hombro_Cub,Codo_Cub,Muneca_Cub,Pinza_Cub
0.0,-62.0,28.0,-66.0,34.0,44.0,-62.0,28.0,-66.0,34.0,44.0
0.02,-61.26,27.744,-65.88,34.048,43.872,-61.991,27.997,-65.999,34.001,43.998
0.04,-60.52,27.488,-65.76,34.096,43.744,-61.965,27.988,-65.994,34.002,43.994
0.06,-59.78,27.232,-65.64,34.144,43.616,-61.921,27.973,-65.987,34.005,43.986
0.08,-59.04,26.976,-65.52,34.192,43.488,-61.859,27.951,-65.977,34.009,43.976
0.1,-58.3,26.72,-65.4,34.24,43.36,-61.781,27.924,-65.964,34.014,43.962
0.12,-57.56,26.464,-65.28,34.288,43.232,-61.685,27.891,-65.949,34.02,43.946
0.14,-56.82,26.208,-65.16,34.336,43.104,-61.573,27.852,-65.931,34.028,43.926
0.16,-56.08,25.952,-65.04,34.384,42.976,-61.444,27.808,-65.91,34.036,43.904
0.18,-55.34,25.696,-64.92,34.432,42.848,-61.298,27.757,-65.886,34.046,43.879
0.2,-54.6,25.44,-64.8,34.48,42.72,-61.136,27.701,-65.86,34.056,43.85
0.22,-53.86,25.184,-64.68,34.528,42.592,-60.957,27.639,-65.831,34.068,43.82
0.24,-53.12,24.928,-64.56,34.576,42.464,-60.762,27.572,-65.799,34.08,43.786
0.26,-52.38,24.672,-64.44,34.624,42.336,-60.551,27.499,-65.765,34.094,43.749
0.28,-51.64,24.416,-64.32,34.672,42.208,-60.324,27.42,-65.728,34.109,43.71
0.3,-50.9,24.16,-64.2,34.72,42.08,-60.082,27.336,-65.689,34.124,43.668
0.32,-50.16,23.904,-64.08,34.768,41.952,-59.824,27.247,-65.647,34.141,43.624
0.34,-49.42,23.648,-63.96,34.816,41.824,-59.55,27.152,-65.603,34.159,43.576
0.36,-48.68,23.392,-63.84,34.864,41.696,-59.261,27.052,-65.556,34.178,43.526
0.38,-47.94,23.136,-63.72,34.912,41.568,-58.957,26.947,-65.506,34.197,43.474
0.4,-47.2,22.88,-63.6,34.96,41.44,-58.637,26.837,-65.455,34.218,43.418
0.42,-46.46,22.624,-63.48,35.008,41.312,-58.303,26.721,-65.401,34.24,43.361
0.44,-45.72,22.368,-63.36,35.056,41.184,-57.954,26.6,-65.344,34.262,43.3
0.46,-44.98,22.112,-63.24,35.104,41.056,-57.591,26.475,-65.285,34.286,43.237
0.48,-44.24,21.856,-63.12,35.152,40.928,-57.212,26.344,-65.224,34.311,43.172
0.5,-43.5,21.6,-63.0,35.2,40.8,-56.82,26.208,-65.16,34.336,43.104
0.52,-42.76,21.344,-62.88,35.248,40.672,-56.413,26.067,-65.094,34.362,43.034
0.54,-42.02,21.088,-62.76,35.296,40.544,-55.993,25.922,-65.026,34.39,42.961
0.56,-41.28,20.832,-62.64,35.344,40.416,-55.558,25.771,-64.955,34.418,42.886
